Atomic Number,Element,Multiplicity,Term Symbol,ΔfH°gas,StdErr,Reference,CBS-QB3,CBS-QB3 correction,CBS-APNO,CBS-APNO correction,CBS-4M,CBS-4M correction,G1,G1 correction,G2,G2 correction,G2MP2,G2MP2 correction,G3,G3 correction,G3MP2,G3MP2 correction,G3B3,G3B3 correction,G3MP2B3,G3MP2B3 correction,G4,G4 correction,G4MP2,G4MP2 correction
1,H,2,2S1/2,217.998,0.006,https://webbook.nist.gov,-1306.07,0.0,-1306.41,0.0,-1315.35,1.125,-1306.55,0.0,-1306.55,0.0,-1306.55,0.0,-1309.18,0.0,-1311.38,0.0,-1309.40,0.0,-1312.17,0.0,-1310.28,0.0,-1312.05,0.0
2,He,1,1S0,0,,https://webbook.nist.gov,-7615.45,0.0,-7620.19,0.0,-7614.14,0.000,-7599.12,0.0,-7608.44,0.0,-7608.44,0.0,-7613.92,0.0,-7614.43,0.0,-7615.41,0.0,-7616.64,0.0,-7620.65,0.0,-7619.71,0.0
3,Li,2,2S1/2,159.3,1,https://webbook.nist.gov,-19506.59,0.0,-19617.61,0.0,-19518.53,0.000,-19507.08,0.0,-19507.08,0.0,-19507.08,0.0,-19593.49,0.0,-19511.89,0.0,-19593.71,0.0,-19512.68,0.0,-19596.74,0.0,-19513.97,0.0
4,Be,1,1S0,324,5,https://webbook.nist.gov,-38380.03,0.0,-38498.68,0.0,-38402.03,0.000,-38387.41,0.0,-38387.82,0.0,-38387.82,0.0,-38482.90,0.0,-38402.93,0.0,-38484.39,0.0,-38405.14,0.0,-38477.46,0.0,-38387.69,0.0
5,B,2,2P1/2,565,5,https://webbook.nist.gov,-64585.74,0.0,-64716.34,0.0,-64598.27,0.000,-64588.39,0.0,-64588.19,0.0,-64588.19,0.0,-64692.86,0.0,-64599.67,0.0,-64694.57,0.0,-64602.68,0.0,-64703.57,0.0,-64607.44,0.0
6,C,3,3P0,716.68,0.45,https://webbook.nist.gov,-99199.30,0.0,-99348.15,0.0,-99207.54,0.000,-99197.32,0.0,-99195.39,0.0,-99195.39,0.0,-99310.46,0.0,-99209.70,0.0,-99312.39,0.0,-99213.50,0.0,-99327.40,0.0,-99222.47,0.0
7,N,4,4S3/2,472.68,0.4,https://webbook.nist.gov,-143137.45,0.0,-143307.66,0.0,-143148.70,0.000,-143130.10,0.0,-143126.34,0.0,-143126.34,0.0,-143252.46,0.0,-143149.68,0.0,-143254.61,0.0,-143154.27,0.0,-143276.94,0.0,-143169.71,0.0
8,O,3,3P2,249.18,0.01,https://webbook.nist.gov,-196873.80,0.0,-197067.10,0.0,-196889.37,0.000,-196859.14,0.0,-196850.29,0.0,-196850.29,0.0,-196987.64,0.0,-196879.43,0.0,-196991.06,0.0,-196885.44,0.0,-197025.74,0.0,-196912.79,0.0
9,F,2,2P3/2,79.38,0.3,https://webbook.nist.gov,-261606.66,0.0,-261826.26,0.0,-261629.45,0.000,-261579.54,0.0,-261569.55,0.0,-261569.55,0.0,-261714.65,0.0,-261601.05,0.0,-261719.33,0.0,-261608.49,0.0,-261769.20,0.0,-261650.27,0.0
10,Ne,1,1S0,0,,https://webbook.nist.gov,-338252.02,0.0,-338493.39,0.0,-338282.64,0.000,-338208.07,0.0,-338200.42,0.0,-338200.42,0.0,-338348.08,0.0,-338233.41,0.0,-338354.03,0.0,-338242.27,0.0,-338423.30,0.0,-338301.95,0.0
11,Na,2,2S1/2,107.5,0.7,https://webbook.nist.gov,-424920.37,0.0,,,-424932.32,0.000,-424920.87,0.0,-424920.87,0.0,-424920.87,0.0,-425598.20,0.0,-424925.68,0.0,-425598.42,0.0,-424926.47,0.0,-425634.24,0.0,-425322.61,0.0
12,Mg,1,1S0,147.1,0.8,https://webbook.nist.gov,-524156.40,0.0,,,-524182.83,0.000,-524164.65,0.0,-524164.84,0.0,-524164.84,0.0,-524850.67,0.0,-524177.02,0.0,-524852.16,0.0,-524179.24,0.0,-524862.79,0.0,-524518.17,0.0
13,Al,2,2P1/2,330,4,https://webbook.nist.gov,-635177.82,0.0,,,-635196.02,0.000,-635185.29,0.0,-635180.78,0.0,-635180.78,0.0,-635909.44,0.0,-635199.19,0.0,-635911.15,0.0,-635202.19,0.0,-635945.13,0.0,-635219.58,0.0
14,Si,3,3P0,450,8,https://webbook.nist.gov,-758582.84,0.0,,,-758585.21,0.000,-758589.34,0.0,-758579.45,0.0,-758579.45,0.0,-759346.78,0.0,-758604.18,0.0,-759348.71,0.0,-758607.98,0.0,-759385.55,0.0,-758626.15,0.0
15,P,4,4S3/2,316.5,1,https://webbook.nist.gov,-894809.18,0.0,,,-894800.70,0.000,-894811.33,0.0,-894800.48,0.0,-894800.48,0.0,-895594.87,0.0,-894834.05,0.0,-895597.02,0.0,-894838.64,0.0,-895642.63,0.0,-894861.26,0.0
16,S,3,3P2,277.17,0.15,https://webbook.nist.gov,-1044043.06,0.0,,,-1044028.74,0.000,-1044036.70,0.0,-1044015.80,0.0,-1044015.84,0.0,-1044840.55,0.0,-1044059.86,0.0,-1044843.97,0.0,-1044065.88,0.0,-1044890.62,0.0,-1044093.37,0.0
17,Cl,2,2P3/2,121.301,0.008,https://webbook.nist.gov,-1206892.94,0.0,,,-1206875.43,0.000,-1206874.80,0.0,-1206848.60,0.0,-1206848.60,0.0,-1207699.90,0.0,-1206902.49,0.0,-1207704.58,0.0,-1206909.92,0.0,-1207763.16,0.0,-1206945.68,0.0
18,Ar,1,1S0,0,,https://webbook.nist.gov,-1383809.92,0.0,,,-1383796.80,0.000,-1383781.30,0.0,-1383750.30,0.0,-1383750.26,0.0,-1384601.49,0.0,-1383792.15,0.0,-1384607.45,0.0,-1383801.00,0.0,-1384683.51,0.0,-1383850.80,0.0
19,K,2,2S1/2,89,0.8,https://webbook.nist.gov,-1573059.38,0.0,,,-1573167.12,0.000,-1573771.90,0.0,-1573749.50,0.0,-1573749.53,0.0,-1574585.90,0.0,-1573806.27,0.0,-1574592.08,0.0,-1573815.91,0.0,-1574537.86,0.0,-1573725.09,0.0
20,Ca,1,1S0,177.8,0.8,https://webbook.nist.gov,-1776857.62,0.0,,,-1776972.32,0.000,-1777626.80,0.0,-1777607.80,0.0,-1777607.80,0.0,-1778466.55,0.0,-1777678.30,0.0,-1778473.99,0.0,-1777689.37,0.0,-1778409.04,0.0,-1777578.88,0.0
21,Sc,2,2D3/2,378,,https://www.webelements.com/scandium/thermochemistry.html,-1994723.98,0.0,,,-1994750.28,0.000,-1994726.30,0.0,-1994706.50,0.0,-1994706.51,0.0,,,,,,,,,,,,
22,Ti,3,3F2,473,3,https://webbook.nist.gov,-2227546.70,0.0,,,-2227562.61,0.000,-2227546.20,0.0,-2227527.60,0.0,-2227527.56,0.0,,,,,,,,,,,,
23,V,4,4F3/2,515.47,,https://webbook.nist.gov,-2475649.69,0.0,,,-2475678.70,0.000,-2475641.70,0.0,-2475625.30,0.0,-2475625.29,0.0,,,,,,,,,,,,
24,Cr,7,7S3,397.48,,https://webbook.nist.gov,-2739453.64,0.0,,,-2739466.14,0.000,-2739435.60,0.0,-2739445.60,0.0,-2739445.55,0.0,,,,,,,,,,,,
25,Mn,6,6S5/2,283.26,,https://webbook.nist.gov,-3019174.48,0.0,,,-3019178.57,0.000,-3018926.20,0.0,-3018939.10,0.0,-3018939.14,0.0,,,,,,,,,,,,
26,Fe,5,5D4,415.47,,https://webbook.nist.gov,-3314926.53,0.0,,,-3314907.78,0.000,-3314795.50,0.0,-3314814.20,0.0,-3314814.19,0.0,,,,,,,,,,,,
27,Co,4,4F9/2,426.68,,https://webbook.nist.gov,-3627411.97,0.0,,,-3627352.02,0.000,-3627316.70,0.0,-3627338.80,0.0,-3627338.78,0.0,,,,,,,,,,,,
28,Ni,3,3F4,430.12,,https://webbook.nist.gov,-3956978.62,0.0,,,-3956906.94,0.000,-3956851.20,0.0,-3956878.40,0.0,-3956878.42,0.0,,,,,,,,,,,,
29,Cu,2,2S1/2,337.4,1.2,https://webbook.nist.gov,-4304131.05,0.0,,,-4303867.92,0.000,-4303827.20,0.0,-4303867.00,0.0,-4303867.02,0.0,,,,,,,,,,,,
30,Zn,1,1S0,130.4,0.4,https://webbook.nist.gov,-4668812.20,0.0,,,-4668676.36,0.000,-4668631.90,0.0,-4668685.10,0.0,-4668685.13,0.0,,,,,,,,,,,,
31,Ga,2,2P1/2,271.96,,https://webbook.nist.gov,-5050180.49,0.0,,,-5049685.93,0.000,-5049438.90,0.0,-5049455.80,0.0,-5049455.78,0.0,-5052206.54,0.0,-5050240.24,0.0,-5052208.25,0.0,-5050243.25,0.0,-5052375.45,0.0,-5050408.31,0.0
32,Ge,3,3P0,372,8,https://webbook.nist.gov,-5449560.08,0.0,,,-5449075.33,0.000,-5448822.50,0.0,-5448839.10,0.0,-5448839.12,0.0,-5451524.39,0.0,-5449581.78,0.0,-5451526.32,0.0,-5449585.58,0.0,-5451688.05,0.0,-5449744.26,0.0
33,As,4,4S3/2,303,,https://www.webelements.com/scandium/thermochemistry.html,-5866733.63,0.0,,,-5866245.07,0.000,-5866002.70,0.0,-5866017.10,0.0,-5866017.13,0.0,-5868641.11,0.0,-5866716.21,0.0,-5868643.26,0.0,-5866720.80,0.0,-5868804.76,0.0,-5866878.31,0.0
34,Se,3,3P2,227.1,,https://www.webelements.com/scandium/thermochemistry.html,-6301704.57,0.0,,,-6301209.36,0.000,-6300976.30,0.0,-6300981.00,0.0,-6300981.03,0.0,-6303590.73,0.0,-6301665.45,0.0,-6303594.15,0.0,-6301671.46,0.0,-6303760.52,0.0,-6301832.76,0.0
35,Br,2,2P3/2,111.87,0.12,https://webbook.nist.gov,-6754942.21,0.0,,,-6754438.36,0.000,-6754150.90,0.0,-6754152.80,0.0,-6754152.82,0.0,-6756762.98,0.0,-6754836.90,0.0,-6756767.67,0.0,-6754844.33,0.0,-6756941.20,0.0,-6755011.80,0.0
36,Kr,1,1S0,0,,https://webbook.nist.gov,-7226590.87,0.0,,,-7226062.67,0.000,-7225828.70,0.0,-7225822.00,0.0,-7225822.05,0.0,-7228399.98,0.0,-7226465.93,0.0,-7228405.93,0.0,-7226474.79,0.0,-7228587.62,0.0,-7226649.46,0.0
37,Rb,2,2S1/2,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Sr,1,1S0,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Y,2,2D3/2,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Zr,3,3F2,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Nb,6,6D1/2,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Mo,7,7S3,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Tc,6,6S5/2,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Ru,5,5F5,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Rh,4,4F9/2,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Pd,1,1S0,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Ag,2,2S1/2,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Cd,1,1S0,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,In,2,2P1/2,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Sn,3,3P0,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Sb,4,4S3/2,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Te,3,3P2,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,I,2,2P3/2,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Xe,1,1S0,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Cs,2,2S1/2,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Ba,1,1S0,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,La,2,2D3/2,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Ce,1,1G4,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Pr,4,4I9/2,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Nd,5,5I4,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Pm,6,6H5/2,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Sm,7,7F0,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Eu,8,8S7/2,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Gd,9,9D2,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Tb,6,6H15/2,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Dy,5,5I8,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Ho,4,4I15/2,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Er,3,3H6,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Tm,2,2F7/2,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Yb,1,1S0,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Lu,2,2D3/2,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Hf,3,3F2,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Ta,4,4F3/2,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,W,5,5D0,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Re,6,6S5/2,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Os,5,5D4,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Ir,4,4F9/2,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Pt,3,3D3,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Au,2,2S1/2,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Hg,1,1S0,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Tl,2,2P1/2,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Pb,3,3P0,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Bi,4,4S3/2,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Po,3,3P2,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,At,2,2P3/2,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Rn,1,1S0,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Fr,2,2S1/2,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Ra,1,1S0,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Ac,2,2D3/2,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Th,3,3F2,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Pa,4,4K11/2,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,U,5,5L6,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Np,6,6L11/2,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Pu,7,7F0,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Am,8,8S7/2,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Cm,9,9D2,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Bk,6,6H15/2,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Cf,5,5I8,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Es,4,4I15/2,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Fm,3,3H6,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Md,2,2F7/2,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,No,1,1S0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,